Time (s);Position X1;Position Y1;Position Z1;Position X2;Position Y2;Position Z2
0;6,482969;13,18135;0,41;4,038136;14,07522;0,3476608
1;6,41382;13,94245;0,41;3,915681;13,90878;0,7857668
2;6,34459;14,77263;0,41;3,920578;14,1629;0,9704149
3;6,310073;15,49919;0,41;3,914778;14,65833;1,085052
4;6,172661;16,15787;0,41;3,803352;15,12842;1,164881
5;6,033255;16,70987;0,41;3,669695;15,5457;1,097058
6;5,791101;17,09037;0,41;3,475681;15,78061;1,182524
7;5,756506;17,15957;0,41;3,447657;15,82654;1,17202
8;5,75651;17,26335;0,41;3,455004;15,90011;1,055238
9;5,687316;17,60928;0,41;3,463413;16,08325;0,622735
10;5,583542;17,88602;0,41;3,369491;16,17718;0,6342602
11;5,391659;18,02441;1,102213;3,257508;16,16284;0,9699512
12;4,979301;18,02441;2,469526;3,012353;15,98941;1,576037
13;4,916293;14,42585;3,202569;2,519874;13,71925;2,290633
14;4,916293;13,32923;3,346617;2,711634;13,61677;2,177997
15;4,916293;10,36533;3,679201;2,97108;13,03588;1,64188
16;2,927646;10,36597;3,651297;2,243409;12,80116;1,792066
17;0,131386;10,36597;3,643464;1,008425;12,77069;1,75928
18;0,1313871;10,36597;3,643461;1,008431;12,77069;1,759276
19;0,1313861;10,78273;1,775809;0,1806325;12,99919;1,319151
20;0,1313861;13,75827;-2,499103;-0,3781906;13,4068;-0,08366823
